Month,Day,Day_of_week,Hour,Minute,Hour_sin,Hour_cos,Minute_sin,Minute_cos,Day_of_week_sin,Day_of_week_cos
4,28,2,17,45,-0.9659258262890683,-0.25881904510252063,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434
4,28,2,18,0,-1.0,-1.8369701987210297e-16,0.0,1.0,0.9749279121818236,-0.22252093395631434
4,28,2,18,15,-1.0,-1.8369701987210297e-16,1.0,2.83276944882399e-16,0.9749279121818236,-0.22252093395631434
4,28,2,18,30,-1.0,-1.8369701987210297e-16,5.66553889764798e-16,-1.0,0.9749279121818236,-0.22252093395631434
4,28,2,18,45,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434
4,28,2,19,0,-0.9659258262890684,0.2588190451025203,0.0,1.0,0.9749279121818236,-0.22252093395631434
4,28,2,19,15,-0.9659258262890684,0.2588190451025203,1.0,2.83276944882399e-16,0.9749279121818236,-0.22252093395631434
4,28,2,19,30,-0.9659258262890684,0.2588190451025203,5.66553889764798e-16,-1.0,0.9749279121818236,-0.22252093395631434
4,28,2,19,45,-0.9659258262890684,0.2588190451025203,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434
4,28,2,20,0,-0.8660254037844386,0.5000000000000001,0.0,1.0,0.9749279121818236,-0.22252093395631434
4,28,2,20,15,-0.8660254037844386,0.5000000000000001,1.0,2.83276944882399e-16,0.9749279121818236,-0.22252093395631434
4,28,2,20,30,-0.8660254037844386,0.5000000000000001,5.66553889764798e-16,-1.0,0.9749279121818236,-0.22252093395631434
4,28,2,20,45,-0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434
4,28,2,21,0,-0.7071067811865477,0.7071067811865474,0.0,1.0,0.9749279121818236,-0.22252093395631434
4,28,2,21,15,-0.7071067811865477,0.7071067811865474,1.0,2.83276944882399e-16,0.9749279121818236,-0.22252093395631434
4,28,2,21,30,-0.7071067811865477,0.7071067811865474,5.66553889764798e-16,-1.0,0.9749279121818236,-0.22252093395631434
4,28,2,21,45,-0.7071067811865477,0.7071067811865474,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434
4,28,2,22,0,-0.5000000000000004,0.8660254037844384,0.0,1.0,0.9749279121818236,-0.22252093395631434
4,28,2,22,15,-0.5000000000000004,0.8660254037844384,1.0,2.83276944882399e-16,0.9749279121818236,-0.22252093395631434
4,28,2,22,30,-0.5000000000000004,0.8660254037844384,5.66553889764798e-16,-1.0,0.9749279121818236,-0.22252093395631434
4,28,2,22,45,-0.5000000000000004,0.8660254037844384,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434
4,28,2,23,0,-0.25881904510252157,0.9659258262890681,0.0,1.0,0.9749279121818236,-0.22252093395631434
4,28,2,23,15,-0.25881904510252157,0.9659258262890681,1.0,2.83276944882399e-16,0.9749279121818236,-0.22252093395631434
4,28,2,23,30,-0.25881904510252157,0.9659258262890681,5.66553889764798e-16,-1.0,0.9749279121818236,-0.22252093395631434
4,28,2,23,45,-0.25881904510252157,0.9659258262890681,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434
