Month,Day,Day_of_week,Hour,Minute,Hour_sin,Hour_cos,Minute_sin,Minute_cos,Day_of_week_sin,Day_of_week_cos,Day_sin,Day_cos,DAM_Price,DAM_Vol_Sale,DAM_Vol_Buy,Load,global_tilted_irradiance_instant,Temperature_2m,Shortwave_Radiation,Grid,outage_remaining_h,hours_till_outage,next_outage_duration
5,11,7,16,0,-0.8660254037844384,-0.5000000000000004,0.0,1.0,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,4450.0,3596.2,3596.2,151.55,462.4853,8.85,398.0,1,0.0,24.0,0.0
5,11,7,16,15,-0.8660254037844384,-0.5000000000000004,1.0,2.83276944882399e-16,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,4450.0,3596.2,3596.2,151.55,462.4853,8.85,398.0,1,0.0,24.0,0.0
5,11,7,16,30,-0.8660254037844384,-0.5000000000000004,5.66553889764798e-16,-1.0,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,4450.0,3596.2,3596.2,151.55,462.4853,8.85,398.0,1,0.0,24.0,0.0
5,11,7,16,45,-0.8660254037844384,-0.5000000000000004,-1.0,-1.8369701987210287e-16,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,4450.0,3596.2,3596.2,151.55,462.4853,8.85,398.0,1,0.0,24.0,0.0
5,11,7,17,0,-0.9659258262890684,-0.2588190451025206,0.0,1.0,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,3968.0,3491.9,3491.9,131.57,468.83142,9.0,437.0,1,0.0,24.0,0.0
5,11,7,17,15,-0.9659258262890684,-0.2588190451025206,1.0,2.83276944882399e-16,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,3968.0,3491.9,3491.9,131.57,468.83142,9.0,437.0,1,0.0,24.0,0.0
5,11,7,17,30,-0.9659258262890684,-0.2588190451025206,5.66553889764798e-16,-1.0,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,3968.0,3491.9,3491.9,131.57,468.83142,9.0,437.0,1,0.0,24.0,0.0
5,11,7,17,45,-0.9659258262890684,-0.2588190451025206,-1.0,-1.8369701987210287e-16,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,3968.0,3491.9,3491.9,131.57,468.83142,9.0,437.0,1,0.0,24.0,0.0
5,11,7,18,0,-1.0,-1.8369701987210287e-16,0.0,1.0,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,7900.0,3646.8,3646.8,135.56,387.0131,9.2,394.0,1,0.0,24.0,0.0
5,11,7,18,15,-1.0,-1.8369701987210287e-16,1.0,2.83276944882399e-16,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,7900.0,3646.8,3646.8,135.56,387.0131,9.2,394.0,1,0.0,24.0,0.0
5,11,7,18,30,-1.0,-1.8369701987210287e-16,5.66553889764798e-16,-1.0,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,7900.0,3646.8,3646.8,135.56,387.0131,9.2,394.0,1,0.0,24.0,0.0
5,11,7,18,45,-1.0,-1.8369701987210287e-16,-1.0,-1.8369701987210287e-16,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,7900.0,3646.8,3646.8,135.56,387.0131,9.2,394.0,1,0.0,24.0,0.0
5,11,7,19,0,-0.9659258262890684,0.2588190451025203,0.0,1.0,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,8000.0,3753.2,3753.2,23.36,260.3135,9.5,238.0,1,0.0,24.0,0.0
5,11,7,19,15,-0.9659258262890684,0.2588190451025203,1.0,2.83276944882399e-16,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,8000.0,3753.2,3753.2,23.36,260.3135,9.5,238.0,1,0.0,24.0,0.0
5,11,7,19,30,-0.9659258262890684,0.2588190451025203,5.66553889764798e-16,-1.0,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,8000.0,3753.2,3753.2,23.36,260.3135,9.5,238.0,1,0.0,24.0,0.0
5,11,7,19,45,-0.9659258262890684,0.2588190451025203,-1.0,-1.8369701987210287e-16,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,8000.0,3753.2,3753.2,23.36,260.3135,9.5,238.0,1,0.0,24.0,0.0
5,11,7,20,0,-0.8660254037844386,0.5000000000000001,0.0,1.0,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,8600.0,3938.2,3938.2,25.62,124.52623,7.9,106.0,1,0.0,24.0,0.0
5,11,7,20,15,-0.8660254037844386,0.5000000000000001,1.0,2.83276944882399e-16,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,8600.0,3938.2,3938.2,25.62,124.52623,7.9,106.0,1,0.0,24.0,0.0
5,11,7,20,30,-0.8660254037844386,0.5000000000000001,5.66553889764798e-16,-1.0,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,8600.0,3938.2,3938.2,25.62,124.52623,7.9,106.0,1,0.0,24.0,0.0
5,11,7,20,45,-0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210287e-16,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,8600.0,3938.2,3938.2,25.62,124.52623,7.9,106.0,1,0.0,24.0,0.0
5,11,7,21,0,-0.7071067811865477,0.7071067811865474,0.0,1.0,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,8600.0,4064.6,4064.6,23.37,28.253513,7.05,12.0,1,0.0,24.0,0.0
5,11,7,21,15,-0.7071067811865477,0.7071067811865474,1.0,2.83276944882399e-16,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,8600.0,4064.6,4064.6,23.37,28.253513,7.05,12.0,1,0.0,24.0,0.0
5,11,7,21,30,-0.7071067811865477,0.7071067811865474,5.66553889764798e-16,-1.0,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,8600.0,4064.6,4064.6,23.37,28.253513,7.05,12.0,1,0.0,24.0,0.0
5,11,7,21,45,-0.7071067811865477,0.7071067811865474,-1.0,-1.8369701987210287e-16,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,8600.0,4064.6,4064.6,23.37,28.253513,7.05,12.0,1,0.0,24.0,0.0
5,11,7,22,0,-0.5000000000000004,0.8660254037844384,0.0,1.0,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,8850.0,4356.0,4356.0,20.57,0.0,5.7,0.0,1,0.0,24.0,0.0
5,11,7,22,15,-0.5000000000000004,0.8660254037844384,1.0,2.83276944882399e-16,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,8850.0,4356.0,4356.0,20.57,0.0,5.7,0.0,1,0.0,24.0,0.0
5,11,7,22,30,-0.5000000000000004,0.8660254037844384,5.66553889764798e-16,-1.0,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,8850.0,4356.0,4356.0,20.57,0.0,5.7,0.0,1,0.0,24.0,0.0
5,11,7,22,45,-0.5000000000000004,0.8660254037844384,-1.0,-1.8369701987210287e-16,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,8850.0,4356.0,4356.0,20.57,0.0,5.7,0.0,1,0.0,24.0,0.0
5,11,7,23,0,-0.2588190451025215,0.965925826289068,0.0,1.0,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,8866.87,3828.4,3828.4,22.88,0.0,4.75,0.0,1,0.0,24.0,0.0
5,11,7,23,15,-0.2588190451025215,0.965925826289068,1.0,2.83276944882399e-16,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,8866.87,3828.4,3828.4,22.88,0.0,4.75,0.0,1,0.0,24.0,0.0
5,11,7,23,30,-0.2588190451025215,0.965925826289068,5.66553889764798e-16,-1.0,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,8866.87,3828.4,3828.4,22.88,0.0,4.75,0.0,1,0.0,24.0,0.0
5,11,7,23,45,-0.2588190451025215,0.965925826289068,-1.0,-1.8369701987210287e-16,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,8866.87,3828.4,3828.4,22.88,0.0,4.75,0.0,1,0.0,24.0,0.0
5,12,1,0,0,0.0,1.0,0.0,1.0,0.7818314824680298,0.6234898018587336,0.6513724827222223,-0.7587581226927909,6883.49,3229.7,3229.7,25.67,0.0,4.55,0.0,1,0.0,24.0,0.0
5,12,1,0,15,0.0,1.0,1.0,2.83276944882399e-16,0.7818314824680298,0.6234898018587336,0.6513724827222223,-0.7587581226927909,6883.49,3229.7,3229.7,25.67,0.0,4.55,0.0,1,0.0,24.0,0.0
5,12,1,0,30,0.0,1.0,5.66553889764798e-16,-1.0,0.7818314824680298,0.6234898018587336,0.6513724827222223,-0.7587581226927909,6883.49,3229.7,3229.7,25.67,0.0,4.55,0.0,1,0.0,24.0,0.0
5,12,1,0,45,0.0,1.0,-1.0,-1.8369701987210287e-16,0.7818314824680298,0.6234898018587336,0.6513724827222223,-0.7587581226927909,6883.49,3229.7,3229.7,25.67,0.0,4.55,0.0,1,0.0,24.0,0.0
5,12,1,1,0,0.2588190451025207,0.9659258262890684,0.0,1.0,0.7818314824680298,0.6234898018587336,0.6513724827222223,-0.7587581226927909,4000.0,2150.4,2150.4,66.72,0.0,4.1,0.0,1,0.0,24.0,0.0
5,12,1,1,15,0.2588190451025207,0.9659258262890684,1.0,2.83276944882399e-16,0.7818314824680298,0.6234898018587336,0.6513724827222223,-0.7587581226927909,4000.0,2150.4,2150.4,66.72,0.0,4.1,0.0,1,0.0,24.0,0.0
5,12,1,1,30,0.2588190451025207,0.9659258262890684,5.66553889764798e-16,-1.0,0.7818314824680298,0.6234898018587336,0.6513724827222223,-0.7587581226927909,4000.0,2150.4,2150.4,66.72,0.0,4.1,0.0,1,0.0,24.0,0.0
5,12,1,1,45,0.2588190451025207,0.9659258262890684,-1.0,-1.8369701987210287e-16,0.7818314824680298,0.6234898018587336,0.6513724827222223,-0.7587581226927909,4000.0,2150.4,2150.4,66.72,0.0,4.1,0.0,1,0.0,24.0,0.0
5,12,1,2,0,0.4999999999999999,0.8660254037844387,0.0,1.0,0.7818314824680298,0.6234898018587336,0.6513724827222223,-0.7587581226927909,3895.0,2038.3,2038.3,68.13,0.0,3.5,0.0,1,0.0,24.0,0.0
5,12,1,2,15,0.4999999999999999,0.8660254037844387,1.0,2.83276944882399e-16,0.7818314824680298,0.6234898018587336,0.6513724827222223,-0.7587581226927909,3895.0,2038.3,2038.3,68.13,0.0,3.5,0.0,1,0.0,24.0,0.0
5,12,1,2,30,0.4999999999999999,0.8660254037844387,5.66553889764798e-16,-1.0,0.7818314824680298,0.6234898018587336,0.6513724827222223,-0.7587581226927909,3895.0,2038.3,2038.3,68.13,0.0,3.5,0.0,1,0.0,24.0,0.0
5,12,1,2,45,0.4999999999999999,0.8660254037844387,-1.0,-1.8369701987210287e-16,0.7818314824680298,0.6234898018587336,0.6513724827222223,-0.7587581226927909,3895.0,2038.3,2038.3,68.13,0.0,3.5,0.0,1,0.0,24.0,0.0
5,12,1,3,0,0.7071067811865475,0.7071067811865476,0.0,1.0,0.7818314824680298,0.6234898018587336,0.6513724827222223,-0.7587581226927909,2000.0,1955.3,1955.3,52.67,0.0,3.1,0.0,1,0.0,24.0,0.0
5,12,1,3,15,0.7071067811865475,0.7071067811865476,1.0,2.83276944882399e-16,0.7818314824680298,0.6234898018587336,0.6513724827222223,-0.7587581226927909,2000.0,1955.3,1955.3,52.67,0.0,3.1,0.0,1,0.0,24.0,0.0
5,12,1,3,30,0.7071067811865475,0.7071067811865476,5.66553889764798e-16,-1.0,0.7818314824680298,0.6234898018587336,0.6513724827222223,-0.7587581226927909,2000.0,1955.3,1955.3,52.67,0.0,3.1,0.0,1,0.0,24.0,0.0
5,12,1,3,45,0.7071067811865475,0.7071067811865476,-1.0,-1.8369701987210287e-16,0.7818314824680298,0.6234898018587336,0.6513724827222223,-0.7587581226927909,2000.0,1955.3,1955.3,52.67,0.0,3.1,0.0,1,0.0,24.0,0.0
5,12,1,4,0,0.8660254037844386,0.5000000000000001,0.0,1.0,0.7818314824680298,0.6234898018587336,0.6513724827222223,-0.7587581226927909,800.0,1807.2,1807.2,51.89,0.0,2.85,0.0,1,0.0,24.0,0.0
5,12,1,4,15,0.8660254037844386,0.5000000000000001,1.0,2.83276944882399e-16,0.7818314824680298,0.6234898018587336,0.6513724827222223,-0.7587581226927909,800.0,1807.2,1807.2,51.89,0.0,2.85,0.0,1,0.0,24.0,0.0
