step,action_battery,action_grid,soc,target_soc,solar_gen_kwh,solar_surplus_kwh,battery_kwh,grid_kwh,unmet_load_kwh,lcos_cost,mismatch,money_earned_ts,reward,reward_market,reward_lcos,reward_unmet,reward_mismatch,reward_soc_soft,reward_reserve,reward_preparation
76,0.483,0.292,1.0,0.2,9.1069,9.0958,0.0,-9.0958,0.0,0.0,9.1556,74.8403,56.4092,74.8403,-0.0,0.0,-18.3111,-0.12,0.0,0.0
77,0.4929,0.2913,1.0,0.2,9.1069,9.0937,0.0,-9.0937,0.0,0.0,9.1153,74.8233,56.4727,74.8233,-0.0,0.0,-18.2306,-0.12,0.0,0.0
78,0.4857,0.2918,1.0,0.2,9.1069,9.0952,0.0,-9.0952,0.0,0.0,9.1442,74.8357,56.4272,74.8357,-0.0,0.0,-18.2885,-0.12,0.0,0.0
79,0.4892,0.2916,1.0,0.2,9.1069,9.0945,0.0,-9.0945,0.0,0.0,9.1294,74.8297,56.4508,74.8297,-0.0,0.0,-18.2589,-0.12,0.0,0.0
80,0.4541,0.2607,1.0,0.2,2.035,2.0237,0.0,-2.0237,0.0,0.0,14.2682,19.4136,-9.2428,19.4136,-0.0,0.0,-28.5364,-0.12,0.0,0.0
81,0.4603,0.26,1.0,0.2,2.035,2.0224,0.0,-2.0224,0.0,0.0,14.23,19.4008,-9.1792,19.4008,-0.0,0.0,-28.46,-0.12,0.0,0.0
82,0.4684,0.2594,1.0,0.2,2.035,2.0207,0.0,-2.0207,0.0,0.0,14.1933,19.3845,-9.1222,19.3845,-0.0,0.0,-28.3867,-0.12,0.0,0.0
83,0.4536,0.2607,1.0,0.2,2.035,2.0238,0.0,-2.0238,0.0,0.0,14.2711,19.4145,-9.2476,19.4145,-0.0,0.0,-28.5421,-0.12,0.0,0.0
84,0.3794,0.2473,1.0,0.2,0.0,0.0,0.0,0.0111,0.0,0.0,15.4676,0.0609,-31.1161,-0.0609,-0.0,0.0,-30.9352,-0.12,0.0,0.0
85,0.379,0.2474,1.0,0.2,0.0,0.0,0.0,0.011,0.0,0.0,15.4718,0.0603,-31.1239,-0.0603,-0.0,0.0,-30.9436,-0.12,0.0,0.0
86,0.3946,0.2457,1.0,0.2,0.0,0.0,0.0,0.0137,0.0,0.0,15.3676,0.0756,-30.9308,-0.0756,-0.0,0.0,-30.7352,-0.12,0.0,0.0
87,0.3778,0.2476,1.0,0.2,0.0,0.0,0.0,0.0106,0.0,0.0,15.4839,0.0585,-31.1462,-0.0585,-0.0,0.0,-30.9678,-0.12,0.0,0.0
88,0.5555,0.1938,1.0,0.2,0.0,0.0,0.0,0.0127,0.0,0.0,12.126,0.07,-24.442,-0.07,-0.0,0.0,-24.252,-0.12,0.0,0.0
89,0.5438,0.1938,1.0,0.2,0.0,0.0,0.0,0.0109,0.0,0.0,12.124,0.0598,-24.4279,-0.0598,-0.0,0.0,-24.248,-0.12,0.0,0.0
90,0.5562,0.1938,1.0,0.2,0.0,0.0,0.0,0.0128,0.0,0.0,12.1266,0.0707,-24.4439,-0.0707,-0.0,0.0,-24.2532,-0.12,0.0,0.0
91,0.5497,0.1938,1.0,0.2,0.0,0.0,0.0,0.0118,0.0,0.0,12.1227,0.065,-24.4304,-0.065,-0.0,0.0,-24.2454,-0.12,0.0,0.0
92,0.6825,0.1882,1.0,0.2,0.0,0.0,0.0,0.0537,0.0,0.0,11.8143,0.2951,-24.0438,-0.2951,-0.0,0.0,-23.6287,-0.12,0.0,0.0
93,0.605,0.1551,1.0,0.2,0.0,0.0,0.0,0.0114,0.0,0.0,9.7074,0.0628,-19.5976,-0.0628,-0.0,0.0,-19.4148,-0.12,0.0,0.0
94,0.6121,0.1552,1.0,0.2,0.0,0.0,0.0,0.013,0.0,0.0,9.7147,0.0713,-19.6207,-0.0713,-0.0,0.0,-19.4295,-0.12,0.0,0.0
